limspedon_id,State,County_FIPS,County Name,latitude degrees,latitude minutes,latitude seconds,latitude direction,longitude degrees,longitude minutes,longitude seconds,longitude direction,latitude decimal_degrees,longitude decimal_degrees,horizontal datum,Classification Type: SSL,SSL_taxon_name,SSL_taxon_kind,SSL_taxonomic_classification_name,Classification Type: Field,field_taxon_name,field_taxon_kind,field_taxonomic_classification_name,Classification Type: Sampled As,sampledas_taxon_name,sampled_taxon_kind,sampledas_taxonomic_classification_name,Classification Type: Correlated As,correlatedas_taxon_name,correlatedas_taxon_kind,correlatedas_taxonomic_classification_name
36738,KS,KS119,Meade,37,5,36.64,north,100,33,56.88,west,,,WGS84,,,,,,,,,sampled as,Meade,series,"Fine, mixed, superactive, mesic Vertic Argiaquoll",,,,
33612,KS,KS161,Riley,39,6,29.8,north,96,36,37.7,west,,,WGS84,,,,,,,,,sampled as,Chase,taxadjunct,"Fine, smectitic, mesic Pachic Vertic Argiudoll",,,,
33940,NE,NE053,Dodge,41,39,8.31,north,96,28,10.51,west,,,WGS84,,,,,,,,,sampled as,Alcester,series,"Fine-silty, mixed, superactive, mesic Cumulic Haplustoll",,,,
32956,NE,NE155,Saunders,41,10,5.31,north,96,24,42.67,west,,,WGS84,,,,,,,,,,,,,,,,
32873,NE,NE031,Cherry,42,58,0.7,north,100,46,3.8,west,,,WGS84,,,,,,,,,sampled as,Longpine,taxadjunct,"Loamy, mixed, superactive, nonacid, mesic, shallow Typic Ustorthent",,,,
33172,NE,NE123,Morrill,41,41,17.34,north,103,15,35.96,west,,,WGS84,,,,,,,,,,,,,,,,
33797,SD,SD129,Walworth,45,32,36.44,north,100,3,24.3,west,,,WGS84,,,,,,,,,sampled as,Highmore,series,"Fine-silty, mixed, superactive, frigid Typic Argiustoll",,,,
34907,SD,SD099,Minnehaha,43,39,8.97,north,96,28,50.53,west,,,WGS84,,,,,,,,,sampled as,Nora,series,"Fine-silty, mixed, superactive, mesic Udic Haplustoll",,,,
33818,SD,SD129,Walworth,45,20,36.81,north,99,59,31.22,west,,,WGS84,,,,,,,,,sampled as,Mobridge,taxadjunct,"Coarse-silty, mixed, superactive, frigid Pachic Argiustoll",,,,
33838,SD,SD093,Meade,44,24,17.72,north,103,29,0.62,west,,,WGS84,,,,,,,,,sampled as,Maitland,series,"Fine-loamy, mixed, superactive, frigid Typic Haplustalf",,,,
32995,NE,NE155,Saunders,41,10,2.44,north,96,24,37.12,west,,,WGS84,,,,,,,,,,,,,,,,
34356,NE,NE169,Thayer,40,6,8.05,north,97,34,42.86,west,,,WGS84,,,,,,,,,sampled as,Geary,series,"Fine-silty, mixed, superactive, mesic Udic Argiustoll",,,,
34904,SD,SD099,Minnehaha,43,39,10.49,north,96,28,51.28,west,,,WGS84,,,,,,,,,sampled as,Nora,series,"Fine-silty, mixed, superactive, mesic Udic Haplustoll",,,,
34501,KS,KS087,Jefferson,39,2,50.75,north,95,11,54.64,west,,,WGS84,,,,,,,,,sampled as,Pawnee,series,"Fine, smectitic, mesic Oxyaquic Vertic Argiudoll",,,,
33009,NE,NE155,Saunders,41,10,5.27,north,96,24,36.79,west,,,WGS84,,,,,,,,,,,,,,,,
34176,KS,KS123,Mitchell,39,21,44.8,north,98,21,16.3,west,,,WGS84,,,,,,,,,sampled as,Harney,series,"Fine, smectitic, mesic Typic Argiustoll",,,,
33005,NE,NE155,Saunders,41,10,5.26,north,96,24,36.4,west,,,WGS84,,,,,,,,,,,,,,,,
33145,NE,NE079,Hall,40,46,44.69,north,98,27,19.59,west,,,WGS84,,,,,,,,,,,,,,,,
12663,SD,SD081,Lawrence,44,17,27.4,north,103,38,48.3,west,,,WGS84,,,,,,,,,sampled as,Lakoa-like,taxadjunct,,,,,
13488,ND,ND089,Stark,46,52,15.53,north,103,13,39.04,west,,,WGS84,,,,,,,,,sampled as,Moreau,series,"Fine, smectitic, frigid Vertic Haplustoll",,,,
34357,NE,NE169,Thayer,40,6,7.15,north,97,34,42.97,west,,,WGS84,,,,,,,,,sampled as,Geary,series,"Fine-silty, mixed, superactive, mesic Udic Argiustoll",,,,
32867,SD,SD105,Perkins,45,38,7.85,north,102,32,5.49,west,,,WGS84,,,,,,,,,sampled as,Trembles,series,"Coarse-loamy, mixed, superactive, calcareous, frigid Typic Ustifluvent",,,,
32980,NE,NE155,Saunders,41,10,3.87,north,96,24,39.89,west,,,WGS84,,,,,,,,,,,,,,,,
33819,SD,SD129,Walworth,45,20,37.64,north,99,59,31.26,west,,,WGS84,,,,,,,,,sampled as,Mobridge,taxadjunct,"Coarse-silty, mixed, superactive, frigid Pachic Argiustoll",,,,
31304,ND,ND059,Morton,46,46,6.46,north,100,55,5.95,west,,,WGS84,,,,,,,,,sampled as,Farnuf,series,"Fine-loamy, mixed, superactive, frigid Typic Argiustoll",,,,
12662,SD,SD081,Lawrence,44,18,3.5,north,103,39,20.3,west,,,WGS84,,,,,,,,,sampled as,Rockoa-like,taxadjunct,"Clayey-skeletal, mixed, superactive, frigid Mollic Hapludalf",,,,
13490,ND,ND089,Stark,46,52,19.49,north,103,13,45.05,west,,,WGS84,,,,,,,,,sampled as,Rhoades,series,"Fine, smectitic, frigid Leptic Vertic Natrustoll",,,,
33182,NE,NE149,Rock,42,45,49.87,north,99,25,12.36,west,,,WGS84,,,,,,,,,,,,,,,,
